iso3,year,phys_inactive_pct
KNA,2017,39.5
KNA,2018,40.0
KNA,2019,40.4
KOR,2010,39.8
KOR,2011,41.2
KOR,2012,42.6
KOR,2013,44.0
KOR,2014,45.5
KOR,2015,47.0
KOR,2016,48.6
KOR,2017,50.1
KOR,2018,51.7
KOR,2019,53.3
KWT,2010,62.0
KWT,2011,62.2
KWT,2012,62.4
KWT,2013,62.6
KWT,2014,62.7
KWT,2015,62.8
KWT,2016,62.9
KWT,2017,63.0
KWT,2018,63.1
KWT,2019,63.1
LAO,2010,15.7
LAO,2011,15.7
LAO,2012,15.6
LAO,2013,15.6
LAO,2014,15.6
LAO,2015,15.6
LAO,2016,15.6
LAO,2017,15.6
LAO,2018,15.6
LAO,2019,15.7
LBN,2010,46.0
LBN,2011,47.1
LBN,2012,48.2
LBN,2013,49.3
LBN,2014,50.4
LBN,2015,51.5
LBN,2016,52.5
LBN,2017,53.6
LBN,2018,54.6
LBN,2019,55.6
LBR,2010,23.1
LBR,2011,22.2
LBR,2012,21.4
LBR,2013,20.5
LBR,2014,19.7
LBR,2015,18.9
LBR,2016,18.2
LBR,2017,17.5
LBR,2018,16.8
LBR,2019,16.2
LBY,2010,39.4
LBY,2011,39.9
LBY,2012,40.4
LBY,2013,41.0
LBY,2014,41.5
LBY,2015,42.0
LBY,2016,42.6
LBY,2017,43.1
LBY,2018,43.6
LBY,2019,44.1
LCA,2010,22.7
LCA,2011,22.5
LCA,2012,22.3
LCA,2013,22.1
LCA,2014,21.9
LCA,2015,21.8
LCA,2016,21.6
LCA,2017,21.5
LCA,2018,21.3
LCA,2019,21.2
LKA,2010,26.0
LKA,2011,26.8
LKA,2012,27.7
LKA,2013,28.6
LKA,2014,29.5
LKA,2015,30.4
LKA,2016,31.4
LKA,2017,32.3
LKA,2018,33.3
LKA,2019,34.2
LSO,2010,9.8
LSO,2011,9.6
LSO,2012,9.3
LSO,2013,9.1
LSO,2014,8.9
LSO,2015,8.7
LSO,2016,8.6
LSO,2017,8.4
LSO,2018,8.3
LSO,2019,8.2
LTU,2010,22.3
LTU,2011,22.1
LTU,2012,21.9
LTU,2013,21.7
LTU,2014,21.5
LTU,2015,21.3
LTU,2016,21.2
LTU,2017,21.0
LTU,2018,20.8
LTU,2019,20.7
LUX,2010,20.9
LUX,2011,20.2
LUX,2012,19.6
LUX,2013,18.9
LUX,2014,18.3
LUX,2015,17.7
LUX,2016,17.1
LUX,2017,16.5
LUX,2018,15.9
LUX,2019,15.4
LVA,2010,17.8
LVA,2011,17.5
LVA,2012,17.1
LVA,2013,16.8
LVA,2014,16.5
LVA,2015,16.3
LVA,2016,16.0
LVA,2017,15.7
LVA,2018,15.4
LVA,2019,15.2
MAR,2010,22.6
MAR,2011,22.7
MAR,2012,22.8
MAR,2013,23.0
MAR,2014,23.1
MAR,2015,23.3
MAR,2016,23.4
MAR,2017,23.6
MAR,2018,23.8
MAR,2019,23.9
MDA,2010,13.3
MDA,2011,13.1
MDA,2012,12.8
MDA,2013,12.6
MDA,2014,12.4
MDA,2015,12.1
MDA,2016,11.9
MDA,2017,11.7
MDA,2018,11.5
MDA,2019,11.3
MDG,2010,14.3
MDG,2011,14.2
MDG,2012,14.0
MDG,2013,13.9
MDG,2014,13.8
MDG,2015,13.7
MDG,2016,13.6
MDG,2017,13.6
MDG,2018,13.6
MDG,2019,13.5
MDV,2010,24.5
MDV,2011,24.4
MDV,2012,24.4
MDV,2013,24.3
MDV,2014,24.3
MDV,2015,24.3
MDV,2016,24.3
MDV,2017,24.4
MDV,2018,24.4
MDV,2019,24.4
MEX,2010,24.8
MEX,2011,25.0
MEX,2012,25.3
MEX,2013,25.6
MEX,2014,25.8
MEX,2015,26.1
MEX,2016,26.4
MEX,2017,26.6
MEX,2018,26.9
MEX,2019,27.2
MHL,2010,31.9
MHL,2011,31.1
