iso3,year,life_expectancy
GRL,2011,70.2648780487805
GRL,2012,70.5463414634146
GRL,2013,70.8385365853659
GRL,2014,71.0609756097561
GRL,2015,71.4790243902439
GRL,2016,71.8385365853659
GRL,2017,71.9321951219512
GRL,2018,71.9675609756098
GRL,2019,71.9443902439024
GTM,2010,69.885
GTM,2011,70.321
GTM,2012,70.722
GTM,2013,70.878
GTM,2014,70.942
GTM,2015,70.915
GTM,2016,71.215
GTM,2017,71.583
GTM,2018,71.496
GTM,2019,71.639
GUM,2010,76.095
GUM,2011,76.153
GUM,2012,76.237
GUM,2013,76.361
GUM,2014,76.423
GUM,2015,76.444
GUM,2016,76.449
GUM,2017,76.463
GUM,2018,76.561
GUM,2019,76.645
GUY,2010,66.204
GUY,2011,66.469
GUY,2012,66.443
GUY,2013,66.71
GUY,2014,67.334
GUY,2015,67.719
GUY,2016,68.069
GUY,2017,68.543
GUY,2018,68.829
GUY,2019,69.067
HKG,2010,82.9575609756098
HKG,2011,83.4119512195122
HKG,2012,83.450243902439
HKG,2013,83.8312195121951
HKG,2014,83.9356097560976
HKG,2015,84.2526829268293
HKG,2016,84.2114634146342
HKG,2017,84.6956097560976
HKG,2018,84.869756097561
HKG,2019,85.1558536585366
HND,2010,69.77
HND,2011,70.116
HND,2012,70.46
HND,2013,70.765
HND,2014,71.032
HND,2015,71.323
HND,2016,71.615
HND,2017,71.805
HND,2018,72.001
HND,2019,72.124
HRV,2010,76.4756097560976
HRV,2011,76.7756097560976
HRV,2012,77.1682926829268
HRV,2013,77.5707317073171
HRV,2014,77.7243902439024
HRV,2015,77.2756097560976
HRV,2016,77.9219512195122
HRV,2017,77.7268292682927
HRV,2018,77.919512195122
HRV,2019,78.2243902439024
HTI,2010,45.577
HTI,2011,61.581
HTI,2012,62.273
HTI,2013,62.624
HTI,2014,62.969
HTI,2015,63.224
HTI,2016,63.325
HTI,2017,63.832
HTI,2018,64.077
HTI,2019,64.328
HUN,2010,74.2073170731707
HUN,2011,74.8585365853659
HUN,2012,75.0634146341463
HUN,2013,75.5658536585366
HUN,2014,75.7634146341463
HUN,2015,75.5682926829269
HUN,2016,76.0634146341464
HUN,2017,75.8170731707317
HUN,2018,76.0658536585366
HUN,2019,76.3195121951219
IDN,2010,68.364
IDN,2011,68.629
IDN,2012,68.862
IDN,2013,69.064
IDN,2014,69.292
IDN,2015,69.52
IDN,2016,69.733
IDN,2017,69.953
IDN,2018,70.08
IDN,2019,70.349
