iso3,year,life_expectancy,alcohol_lpa,tobacco_pct,phys_inactive_pct,pm25_ugm3,gdp_pc_usd
UGA,2015,63.831,13.28,11.0,6.6,36.4158643204587,862.934610355811
UKR,2010,70.188,11.66,31.3,11.3,19.7107703520874,3039.63232421875
UKR,2015,72.686,9.73,28.5,11.8,17.7919818389331,2094.47387695313
URY,2010,76.691,6.31,27.6,30.8,10.0305604083746,12641.0576849008
URY,2015,77.285,6.02,24.4,31.9,10.4692129562066,17125.9016800298
USA,2010,78.5414634146342,9.34,27.9,31.9,9.27587988353719,48642.6312088213
USA,2015,78.690243902439,9.49,26.3,32.7,8.19074183499752,56849.4697923159
UZB,2010,69.836,1.79,21.9,16.5,33.7300329449397,1753.20730243278
UZB,2015,71.33,2.55,19.6,22.3,37.8356286365777,2803.19018021751
VNM,2010,73.611,7.37,26.6,21.5,23.0762596678067,1683.16182443979
VNM,2015,73.955,8.85,24.9,24.9,19.377014054477,2577.56885340113
WSM,2010,71.451,2.59,31.2,25.1,12.5198995878353,3524.2479246203
WSM,2015,71.06,2.18,27.1,19.5,12.4224418408037,4084.36083819933
YEM,2010,67.223,0.058,24.8,24.1,39.1673543166565,1155.20305261418
YEM,2015,66.761,0.04,23.3,26.1,44.0661314855842,1362.17381205593
ZAF,2010,58.886,8.68,22.0,48.4,24.861273041525,7973.47195771517
ZAF,2015,64.053,8.88,21.5,46.8,24.5964053006527,6112.27382485974
ZMB,2010,56.896,3.31,17.0,15.7,25.4210227502292,1451.10616017155
ZMB,2015,60.728,3.73,15.8,14.8,25.6767422937407,1295.87788680068
ZWE,2010,51.925,3.31,15.7,18.4,21.4862213773936,901.55051752819
ZWE,2015,58.989,3.75,13.6,17.8,23.1038790684558,1386.41855927575
